Date:  18:54; domingo; agosto 31; 2025
Model name: Prot 2
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
175  ,1.312e+02   ,449  ,18  ,-209
176  ,1.312e+02   ,-449  ,18  ,-209
177  ,1.313e+02   ,-449  ,18  ,209
178  ,1.313e+02   ,449  ,18  ,209
9326  ,1.322e+02   ,436.09  ,18  ,-209
9327  ,1.332e+02   ,425.31  ,18  ,-209
9328  ,1.340e+02   ,415.39  ,18  ,-209
9329  ,1.343e+02   ,404.82  ,18  ,-209
9330  ,1.347e+02   ,392.21  ,18  ,-209
9331  ,1.355e+02   ,378.58  ,18  ,-209
9332  ,1.365e+02   ,366.66  ,18  ,-209
9333  ,1.370e+02   ,355.19  ,18  ,-209
9334  ,1.371e+02   ,343.42  ,18  ,-209
9335  ,1.374e+02   ,329.96  ,18  ,-209
9336  ,1.380e+02   ,317.23  ,18  ,-209
9337  ,1.386e+02   ,306.24  ,18  ,-209
9338  ,1.389e+02   ,295.59  ,18  ,-209
9339  ,1.388e+02   ,283.84  ,18  ,-209
9340  ,1.389e+02   ,270.06  ,18  ,-209
9341  ,1.393e+02   ,257.38  ,18  ,-209
9342  ,1.398e+02   ,246.8  ,18  ,-209
9343  ,1.398e+02   ,236.98  ,18  ,-209
9344  ,1.396e+02   ,226.56  ,18  ,-209
9345  ,1.394e+02   ,213.84  ,18  ,-209
9346  ,1.397e+02   ,200.56  ,18  ,-209
9347  ,1.400e+02   ,188.94  ,18  ,-209
9348  ,1.400e+02   ,178.21  ,18  ,-209
9349  ,1.396e+02   ,167.11  ,18  ,-209
9350  ,1.394e+02   ,154.11  ,18  ,-209
9351  ,1.397e+02   ,140.11  ,18  ,-209
9352  ,1.404e+02   ,127.71  ,18  ,-209
9353  ,1.409e+02   ,116.29  ,18  ,-209
9354  ,1.408e+02   ,104.79  ,18  ,-209
