Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
175  ,1.919e+02   ,449  ,18  ,-209
176  ,1.919e+02   ,-449  ,18  ,-209
177  ,1.919e+02   ,-449  ,18  ,209
178  ,1.919e+02   ,449  ,18  ,209
11060  ,1.922e+02   ,439  ,18  ,-209
11061  ,1.926e+02   ,428.99  ,18  ,-209
11062  ,1.931e+02   ,418.99  ,18  ,-209
11063  ,1.933e+02   ,408.99  ,18  ,-209
11064  ,1.934e+02   ,398.98  ,18  ,-209
11065  ,1.936e+02   ,388.98  ,18  ,-209
11066  ,1.940e+02   ,378.97  ,18  ,-209
11067  ,1.943e+02   ,368.97  ,18  ,-209
11068  ,1.946e+02   ,358.97  ,18  ,-209
11069  ,1.948e+02   ,348.96  ,18  ,-209
11070  ,1.949e+02   ,338.96  ,18  ,-209
11071  ,1.950e+02   ,328.96  ,18  ,-209
11072  ,1.952e+02   ,318.95  ,18  ,-209
11073  ,1.955e+02   ,308.95  ,18  ,-209
11074  ,1.958e+02   ,298.95  ,18  ,-209
11075  ,1.958e+02   ,288.94  ,18  ,-209
11076  ,1.958e+02   ,278.94  ,18  ,-209
11077  ,1.959e+02   ,268.94  ,18  ,-209
11078  ,1.961e+02   ,258.93  ,18  ,-209
11079  ,1.963e+02   ,248.93  ,18  ,-209
11080  ,1.964e+02   ,238.92  ,18  ,-209
11081  ,1.963e+02   ,228.92  ,18  ,-209
11082  ,1.963e+02   ,218.92  ,18  ,-209
11083  ,1.963e+02   ,208.91  ,18  ,-209
11084  ,1.964e+02   ,198.91  ,18  ,-209
11085  ,1.966e+02   ,188.91  ,18  ,-209
11086  ,1.966e+02   ,178.9  ,18  ,-209
11087  ,1.965e+02   ,168.9  ,18  ,-209
11088  ,1.964e+02   ,158.9  ,18  ,-209
11089  ,1.964e+02   ,148.89  ,18  ,-209
11090  ,1.966e+02   ,138.89  ,18  ,-209
11091  ,1.968e+02   ,128.89  ,18  ,-209
11092  ,1.971e+02   ,118.88  ,18  ,-209
11093  ,1.971e+02   ,108.88  ,18  ,-209
11094  ,1.971e+02   ,98.874  ,18  ,-209
11095  ,1.971e+02   ,88.871  ,18  ,-209
11096  ,1.972e+02   ,78.867  ,18  ,-209
11097  ,1.974e+02   ,68.871  ,18  ,-209
11098  ,1.976e+02   ,58.959  ,18  ,-209
11099  ,1.975e+02   ,49.123  ,18  ,-209
11100  ,1.975e+02   ,39.197  ,18  ,-209
11101  ,1.974e+02   ,29.193  ,18  ,-209
11102  ,1.975e+02   ,19.19  ,18  ,-209
11103  ,1.977e+02   ,9.3199  ,18  ,-209
11104  ,1.977e+02   ,-0.34226  ,18  ,-209
11105  ,1.976e+02   ,-10.063  ,18  ,-209
11106  ,1.975e+02   ,-19.993  ,18  ,-209
11107  ,1.974e+02   ,-29.996  ,18  ,-209
11108  ,1.975e+02   ,-40  ,18  ,-209
11109  ,1.976e+02   ,-49.924  ,18  ,-209
11110  ,1.976e+02   ,-59.644  ,18  ,-209
11111  ,1.974e+02   ,-69.327  ,18  ,-209
11112  ,1.972e+02   ,-79.212  ,18  ,-209
11113  ,1.971e+02   ,-89.216  ,18  ,-209
11114  ,1.971e+02   ,-99.219  ,18  ,-209
11115  ,1.971e+02   ,-109.22  ,18  ,-209
11116  ,1.971e+02   ,-119.13  ,18  ,-209
11117  ,1.969e+02   ,-128.96  ,18  ,-209
11118  ,1.966e+02   ,-138.89  ,18  ,-209
11119  ,1.964e+02   ,-148.89  ,18  ,-209
11120  ,1.964e+02   ,-158.9  ,18  ,-209
11121  ,1.965e+02   ,-168.9  ,18  ,-209
11122  ,1.966e+02   ,-178.9  ,18  ,-209
11123  ,1.966e+02   ,-188.91  ,18  ,-209
11124  ,1.964e+02   ,-198.91  ,18  ,-209
11125  ,1.963e+02   ,-208.91  ,18  ,-209
11126  ,1.963e+02   ,-218.92  ,18  ,-209
11127  ,1.963e+02   ,-228.92  ,18  ,-209
11128  ,1.964e+02   ,-238.92  ,18  ,-209
11129  ,1.963e+02   ,-248.93  ,18  ,-209
11130  ,1.961e+02   ,-258.93  ,18  ,-209
11131  ,1.959e+02   ,-268.94  ,18  ,-209
11132  ,1.958e+02   ,-278.94  ,18  ,-209
11133  ,1.958e+02   ,-288.94  ,18  ,-209
11134  ,1.958e+02   ,-298.95  ,18  ,-209
11135  ,1.955e+02   ,-308.95  ,18  ,-209
11136  ,1.952e+02   ,-318.95  ,18  ,-209
11137  ,1.950e+02   ,-328.96  ,18  ,-209
11138  ,1.949e+02   ,-338.96  ,18  ,-209
