Resistência;MacroZona;Centro X (mm);T_média (°C);T_alvo (°C);Erro (°C);Fator ajuste;P_inicial (W);P_nova (W)
1;Z3;29.6;134.04558139534885;160.0;-25.954418604651153;1.2433226744186046;40.0;49.73290697674418
2;Z3;88.8;137.80841121495328;160.0;-22.19158878504672;1.208046144859813;40.0;48.321845794392516
3;Z3;148.0;139.90886699507388;160.0;-20.09113300492612;1.1883543719211824;40.0;47.534174876847295
4;Z3;207.2;141.46280193236714;160.0;-18.537198067632858;1.173786231884058;40.0;46.95144927536232
5;Z3;266.4;142.0009090909091;160.0;-17.99909090909091;1.1687414772727274;40.0;46.74965909090909
6;Z2;331.6;142.98190476190476;150.0;-7.018095238095242;1.0701809523809525;40.0;42.8072380952381
7;Z2;390.8;143.64514563106798;150.0;-6.354854368932024;1.0635485436893202;40.0;42.54194174757281
8;Z2;450.0;143.8547263681592;150.0;-6.1452736318408085;1.061452736318408;40.0;42.45810945273632
9;Z2;509.2;143.4223350253807;150.0;-6.577664974619296;1.065776649746193;40.0;42.63106598984771
10;Z2;568.4;142.26473214285713;150.0;-7.735267857142873;1.0773526785714287;40.0;43.09410714285715
11;Z1;633.6;141.3074418604651;140.0;1.3074418604651044;0.9859916943521596;40.0;39.43966777408639
12;Z1;692.8;140.9608695652174;140.0;0.9608695652173935;0.9897049689440993;40.0;39.588198757763976
13;Z1;752.0;139.48743718592965;140.0;-0.5125628140703498;1.005491744436468;40.0;40.21966977745872
14;Z1;811.2;137.45753424657534;140.0;-2.542465753424665;1.0272407045009786;40.0;41.08962818003914
15;Z1;870.4;133.7830985915493;140.0;-6.2169014084506955;1.066609657947686;40.0;42.66438631790744
