Node;Value (Celsius);X (mm);Y (mm);Z (mm)
175;111.4;900.0;18;0.0
176;160.9;0.0;18;0.0
177;160.9;0.0;18;420.0
178;111.4;900.0;18;420.0
11060;111.6;889.9777282850779;18;0.0
11061;111.8;879.945434298441;18;0.0
11062;112.1;869.923162583519;18;0.0
11063;112.3;859.9008908685969;18;0.0
11064;112.5;849.86859688196;18;0.0
11065;112.7;839.8463251670379;18;0.0
11066;113.0;829.8140311804009;18;0.0
11067;113.3;819.7917594654788;18;0.0
11068;113.7;809.7694877505569;18;0.0
11069;114.0;799.7371937639199;18;0.0
11070;114.3;789.7149220489978;18;0.0
11071;114.7;779.6926503340758;18;0.0
11072;115.0;769.6603563474388;18;0.0
11073;115.5;759.6380846325167;18;0.0
11074;116.0;749.6158129175948;18;0.0
11075;116.5;739.5835189309578;18;0.0
11076;116.9;729.5612472160357;18;0.0
11077;117.3;719.5389755011136;18;0.0
11078;117.8;709.5066815144767;18;0.0
11079;118.4;699.4844097995547;18;0.0
11080;119.0;689.4521158129176;18;0.0
11081;119.6;679.4298440979956;18;0.0
11082;120.1;669.4075723830734;18;0.0
11083;120.7;659.3752783964364;18;0.0
11084;121.3;649.3530066815144;18;0.0
11085;122.1;639.3307349665924;18;0.0
11086;123.0;629.2984409799554;18;0.0
11087;123.8;619.2761692650333;18;0.0
11088;124.8;609.2538975501113;18;0.0
11089;125.9;599.2216035634743;18;0.0
11090;127.0;589.1993318485523;18;0.0
11091;128.1;579.1770601336303;18;0.0
11092;129.2;569.1447661469933;18;0.0
11093;130.2;559.1224944320712;18;0.0
11094;130.9;549.0942093541203;18;0.0
11095;131.6;539.0689309576837;18;0.0
11096;132.4;529.0426503340757;18;0.0
11097;133.2;519.0243875278396;18;0.0
11098;134.2;509.09031180400893;18;0.0
11099;135.0;499.2324053452116;18;0.0
11100;135.6;489.28429844097997;18;0.0
11101;136.3;479.2580178173719;18;0.0
11102;137.0;469.2327394209354;18;0.0
11103;137.8;459.3406570155902;18;0.0
11104;138.7;449.6569777282851;18;0.0
11105;139.5;439.91458797327397;18;0.0
11106;140.1;429.96247216035636;18;0.0
11107;140.8;419.9371937639199;18;0.0
11108;141.5;409.91091314031183;18;0.0
11109;142.3;399.9648106904232;18;0.0
11110;143.2;390.2231625835189;18;0.0
11111;144.0;380.5185968819599;18;0.0
11112;144.6;370.6115812917595;18;0.0
11113;145.3;360.58530066815143;18;0.0
11114;146.0;350.56002227171496;18;0.0
11115;146.8;340.5367483296214;18;0.0
11116;147.8;330.60467706013367;18;0.0
11117;148.7;320.7527839643652;18;0.0
11118;149.6;310.80066815144767;18;0.0
11119;150.6;300.77839643652567;18;0.0
11120;151.8;290.74610244988867;18;0.0
11121;153.0;280.7238307349666;18;0.0
11122;154.1;270.7015590200446;18;0.0
11123;155.0;260.66926503340756;18;0.0
11124;155.7;250.6469933184855;18;0.0
11125;156.2;240.6247216035635;18;0.0
11126;156.8;230.59242761692653;18;0.0
11127;157.5;220.57015590200447;18;0.0
11128;158.2;210.54788418708242;18;0.0
11129;158.8;200.51559020044544;18;0.0
11130;159.1;190.4933184855234;18;0.0
11131;159.5;180.46102449888642;18;0.0
11132;159.8;170.43875278396436;18;0.0
11133;160.3;160.4164810690423;18;0.0
11134;160.7;150.38418708240536;18;0.0
11135;161.0;140.3619153674833;18;0.0
11136;161.1;130.33964365256125;18;0.0
11137;161.3;120.3073496659243;18;0.0
11138;161.4;110.28507795100224;18;0.0
11139;161.7;100.2628062360802;18;0.0
11140;161.9;90.23051224944318;18;0.0
11141;161.9;80.20824053452112;18;0.0
11142;161.8;70.18596881959908;18;0.0
11143;161.7;60.153674832962125;18;0.0
11144;161.7;50.131403118040076;18;0.0
11145;161.7;40.09910913140311;18;0.0
11146;161.6;30.076837416481062;18;0.0
11147;161.4;20.05456570155901;18;0.0
11148;161.1;10.022271714922049;18;0.0
11149;161.0;0.0;18;9.997607655502382
11150;161.2;0.0;18;19.995215311004788
11151;161.4;0.0;18;30.002870813397145
11152;161.6;0.0;18;40.00047846889952
11153;161.8;0.0;18;49.99808612440191
11154;162.0;0.0;18;59.99569377990432
11155;162.1;0.0;18;70.00334928229664
11156;162.3;0.0;18;80.00095693779905
11157;162.4;0.0;18;89.99856459330142
11158;162.5;0.0;18;99.99617224880383
11159;162.7;0.0;18;109.99980861244019
11160;162.8;0.0;18;120.00043062200957
11161;162.8;0.0;18;130.00004784688997
11162;162.9;0.0;18;139.99966507177035
11163;163.0;0.0;18;150.00028708133974
11164;163.1;0.0;18;159.9999043062201
11165;163.1;0.0;18;169.99952153110047
11166;163.1;0.0;18;180.00014354066985
11167;163.2;0.0;18;189.99976076555023
11168;163.2;0.0;18;199.999980861244
11169;163.2;0.0;18;210.00000000000009
11170;163.2;0.0;18;220.00001913875602
11171;163.2;0.0;18;230.00023923444977
11172;163.1;0.0;18;239.99985645933015
11173;163.1;0.0;18;250.00047846889953
11174;163.1;0.0;18;260.00009569377994
11175;163.0;0.0;18;269.9997129186603
11176;162.9;0.0;18;280.0003349282297
11177;162.8;0.0;18;289.9999521531101
11178;162.8;0.0;18;299.99956937799044
11179;162.7;0.0;18;310.0001913875598
11180;162.5;0.0;18;320.0038277511962
11181;162.4;0.0;18;330.00143540669853
11182;162.3;0.0;18;339.99904306220094
11183;162.1;0.0;18;349.99665071770335
11184;162.0;0.0;18;360.00430622009566
11185;161.8;0.0;18;370.00191387559806
11186;161.6;0.0;18;379.99952153110047
11187;161.4;0.0;18;389.9971291866029
11188;161.2;0.0;18;400.00478468899524
11189;161.0;0.0;18;410.0023923444976
11190;161.1;10.042316258351875;18;420.0
11191;161.4;20.074610244988836;18;420.0
11192;161.6;30.11692650334077;18;420.0
11193;161.7;40.15924276169264;18;420.0
11194;161.7;50.20155902004452;18;420.0
11195;161.7;60.23385300668154;18;420.0
11196;161.8;70.27616926503342;18;420.0
11197;161.9;80.24832962138085;18;420.0
11198;161.9;89.89977728285076;18;420.0
11199;161.7;99.62138084632515;18;420.0
11200;161.4;109.66369710467707;18;420.0
11201;161.3;119.70601336302896;18;420.0
11202;161.1;129.73830734966592;18;420.0
11203;161.0;139.71046770601333;18;420.0
11204;160.8;149.47216035634744;18;420.0
11205;160.3;159.31403118040086;18;420.0
11206;159.9;169.35634743875278;18;420.0
11207;159.5;179.3986636971047;18;420.0
11208;159.2;189.44097995545656;18;420.0
11209;158.8;199.41314031180403;18;420.0
11210;158.3;209.28507795100222;18;420.0
11211;157.6;219.22717149220492;18;420.0
11212;156.9;229.26948775055678;18;420.0
11213;156.3;239.30178173719378;18;420.0
11214;155.8;249.34409799554564;18;420.0
11215;155.1;259.38641425389756;18;420.0
11216;154.2;269.4287305122495;18;420.0
11217;153.1;279.46102449888645;18;420.0
11218;152.0;289.50334075723833;18;420.0
11219;150.8;299.54565701559017;18;420.0
11220;149.7;309.57795100222717;18;420.0
11221;148.8;319.62026726057906;18;420.0
11222;147.9;329.5924276169265;18;420.0
11223;146.9;339.5345211581291;18;420.0
